coin,market_dominance_percent,updated_at,total_market_cap_usd,total_volume_usd
btc,62.1486409282369,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
eth,8.718742130557011,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
usdt,4.610879491568359,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
xrp,3.846932282792633,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
bnb,2.7760758608356317,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
sol,2.2744314890916812,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
usdc,1.8245760923090173,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
trx,0.7683465645426447,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
doge,0.729369081893347,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
steth,0.6596612456878692,2025-06-25 02:39:32,3385664135720.773,129436428151.42854
