id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,market_cap_rank,fetch_time
bitcoin,btc,Bitcoin,105950.0,2106561808755,39689019493.0,1.93369,1,2025-06-25 02:46:38.531670
ethereum,eth,Ethereum,2442.19,295006687460,21527046762.0,3.83394,2,2025-06-25 02:46:38.531670
tether,usdt,Tether,1.0,156401007782,64456026324.0,-0.00711,3,2025-06-25 02:46:38.531670
ripple,xrp,XRP,2.21,130194424450,3716908044.0,6.18728,4,2025-06-25 02:46:38.531670
binancecoin,bnb,BNB,643.87,93954343274,816961140.0,1.76369,5,2025-06-25 02:46:38.531670
solana,sol,Solana,144.86,76964741273,5393182991.0,2.8314,6,2025-06-25 02:46:38.531670
usd-coin,usdc,USDC,0.999911,61765585097,13388385730.0,0.00084,7,2025-06-25 02:46:38.531670
tron,trx,TRON,0.274308,26006673600,621896940.0,0.37751,8,2025-06-25 02:46:38.531670
dogecoin,doge,Dogecoin,0.164769,24689401649,1407009031.0,3.8035,9,2025-06-25 02:46:38.531670
staked-ether,steth,Lido Staked Ether,2440.78,22341495414,28684990.0,3.54221,10,2025-06-25 02:46:38.531670
cardano,ada,Cardano,0.585762,21153491153,906474126.0,4.13463,11,2025-06-25 02:46:38.531670
wrapped-bitcoin,wbtc,Wrapped Bitcoin,106016.0,13650358362,250108676.0,1.91451,12,2025-06-25 02:46:38.531670
hyperliquid,hype,Hyperliquid,37.43,12504431077,430463165.0,-0.32362,13,2025-06-25 02:46:38.531670
wrapped-steth,wsteth,Wrapped stETH,2950.45,10479164466,22798048.0,3.71345,14,2025-06-25 02:46:38.531670
sui,sui,Sui,2.79,9457810055,1569374363.0,2.82906,15,2025-06-25 02:46:38.531670
chainlink,link,Chainlink,13.35,9056776928,643090883.0,7.19419,16,2025-06-25 02:46:38.531670
bitcoin-cash,bch,Bitcoin Cash,455.16,9053681332,336371655.0,-0.03216,17,2025-06-25 02:46:38.531670
leo-token,leo,LEO Token,8.98,8273330909,2576972.0,-0.92136,18,2025-06-25 02:46:38.531670
stellar,xlm,Stellar,0.248374,7747682434,184015739.0,4.14399,19,2025-06-25 02:46:38.531670
